yearID,teamID,W,L,R,RA,H,HR,BB,SO,Win
1897,NY1,83,48,895,695,1449,31,404,327.0,1
1897,PHI,55,77,752,792,1392,40,399,299.0,0
1897,PIT,60,71,676,835,1266,25,359,334.0,0
1897,SLN,29,102,588,1083,1277,31,354,314.0,0
1897,WAS,61,71,781,793,1376,36,374,348.0,0
1898,BLN,96,53,933,623,1584,12,519,316.0,1
1898,BRO,54,91,638,811,1314,17,328,314.0,0
1898,BSN,102,47,872,614,1531,53,405,303.0,1
1898,CHN,85,65,828,679,1431,18,476,394.0,1
1898,CIN,92,60,831,740,1448,19,455,300.0,1
1898,CL4,81,68,730,683,1379,18,545,306.0,1
1898,LS3,70,81,728,833,1389,32,375,429.0,0
1898,NY1,77,73,837,800,1422,34,428,372.0,1
1898,PHI,78,71,823,784,1431,33,472,382.0,1
1898,PIT,72,76,634,694,1313,14,336,343.0,0
1898,SLN,39,111,571,929,1290,13,383,402.0,0
1898,WAS,51,101,704,939,1423,36,370,386.0,0
1899,BLN,86,62,827,691,1509,17,418,383.0,1
1899,BRO,101,47,892,658,1436,27,477,263.0,1
1899,BSN,95,57,858,645,1517,39,431,269.0,1
1899,CHN,75,73,812,763,1428,27,406,342.0,1
1899,CIN,83,67,856,770,1439,13,485,295.0,1
1899,CL4,20,134,529,1252,1333,12,289,280.0,0
1899,LS3,75,77,827,775,1484,40,436,375.0,0
1899,NY1,60,90,734,863,1431,23,387,360.0,0
1899,PHI,94,58,916,743,1613,31,441,341.0,1
1899,PIT,76,73,834,765,1574,27,384,345.0,1
1899,SLN,84,67,819,739,1514,47,468,262.0,1
1899,WAS,54,98,743,983,1429,47,350,341.0,0
1900,BRO,82,54,816,722,1423,26,421,272.0,1
1900,BSN,66,72,778,739,1403,48,395,278.0,0
1900,CHN,65,75,635,751,1276,33,343,383.0,0
1900,CIN,62,77,703,745,1335,33,333,408.0,0
1900,NY1,60,78,713,823,1317,23,369,343.0,0
1900,PHI,75,63,810,792,1439,29,440,374.0,1
1900,PIT,79,60,733,612,1312,26,327,321.0,1
1900,SLN,65,75,744,748,1420,36,406,318.0,0
1901,BLA,68,65,760,750,1348,24,369,377.0,1
